scalar,RGB_r,RGB_g,RGB_b
0.0,0.0,0.0,0.0
0.06666666666666667,0.11462189563389044,0.012116630983625478,0.2543011097912221
0.13333333333333333,0.03272243214743511,0.022251621841318136,0.4663539858995716
0.2,0.016370126207011747,0.19345202807035153,0.3408690453055597
0.26666666666666666,0.013577263863962,0.28131308067549815,0.23959178395846548
0.3333333333333333,0.0175057105195252,0.35960835629733406,0.10305638071018988
0.4,0.08808647489550425,0.4303590557627002,0.02076563040362206
0.4666666666666667,0.3459012409505257,0.475652007794974,0.022699138396783294
0.5333333333333333,0.6473800379403847,0.47195081918673226,0.031044032153032777
0.6,0.9631644672895096,0.3829300179877212,0.22750885439024698
0.6666666666666666,0.9756180439862371,0.48941330245201103,0.5302646150938287
0.7333333333333333,0.9792467908639096,0.5644843583828043,0.884150643372716
0.8,0.8823207949642251,0.7140769556818014,0.9862329988164894
0.8666666666666667,0.890857185433795,0.8207097106633178,0.9913312422092354
0.9333333333333333,0.9154721624193913,0.9192261671429544,0.9959406615249712
1.0,1.0,1.0,1.0
