scalar,RGB_r,RGB_g,RGB_b
0.0,59,76,192
0.015873015873015872,63,83,199
0.031746031746031744,68,90,205
0.047619047619047616,73,97,210
0.06349206349206349,78,104,216
0.07936507936507936,83,111,221
0.09523809523809523,88,118,226
0.1111111111111111,93,124,230
0.12698412698412698,98,131,234
0.14285714285714285,104,137,238
0.15873015873015872,109,143,242
0.1746031746031746,115,149,245
0.19047619047619047,120,155,247
0.20634920634920634,126,161,250
0.2222222222222222,131,167,252
0.23809523809523808,137,172,253
0.25396825396825395,142,177,254
0.2698412698412698,148,182,255
0.2857142857142857,154,186,255
0.30158730158730157,159,191,255
0.31746031746031744,165,195,254
0.3333333333333333,170,199,253
0.3492063492063492,176,202,252
0.36507936507936506,181,206,250
0.38095238095238093,186,209,248
0.3968253968253968,191,211,246
0.4126984126984127,196,214,243
0.42857142857142855,201,216,240
0.4444444444444444,206,217,236
0.4603174603174603,210,219,232
0.47619047619047616,215,220,228
0.49206349206349204,219,220,223
0.5079365079365079,223,220,218
0.5238095238095237,227,218,212
0.5396825396825397,231,215,206
0.5555555555555556,234,212,200
0.5714285714285714,237,209,194
0.5873015873015872,240,206,188
0.6031746031746031,242,202,182
0.6190476190476191,244,198,175
0.6349206349206349,245,194,169
0.6507936507936507,246,189,163
0.6666666666666666,247,184,156
0.6825396825396826,247,179,150
0.6984126984126984,247,173,143
0.7142857142857142,247,168,137
0.7301587301587301,246,162,131
0.746031746031746,245,155,124
0.7619047619047619,243,149,118
0.7777777777777777,241,142,112
0.7936507936507936,239,135,106
0.8095238095238095,236,128,100
0.8253968253968254,233,121,94
0.8412698412698412,230,113,88
0.8571428571428571,226,106,83
0.873015873015873,222,98,77
0.8888888888888888,218,89,72
0.9047619047619047,213,81,67
0.9206349206349206,208,72,61
0.9365079365079365,203,62,57
0.9523809523809523,198,52,52
0.9682539682539681,192,41,47
0.9841269841269841,186,27,43
1.0,180,4,38
