"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"88",40,1.81555428332325,"4","bal","Surface","S","bal-S-4"
"89",60,1,"1","bal","Surface","S","bal-S-1"
"90",60,1.65303839768703,"2","bal","Surface","S","bal-S-2"
"91",60,1.75276566778083,"3","bal","Surface","S","bal-S-3"
"92",60,1.81281617392428,"4","bal","Surface","S","bal-S-4"
"93",80,1,"1","bal","Surface","S","bal-S-1"
"94",80,1.64762531500739,"2","bal","Surface","S","bal-S-2"
"95",80,1.7517123597478,"3","bal","Surface","S","bal-S-3"
"96",80,1.78066295342832,"4","bal","Surface","S","bal-S-4"
"97",100,1,"1","bal","Surface","S","bal-S-1"
"98",100,1.6591784720082,"2","bal","Surface","S","bal-S-2"
"99",100,1.73278078191792,"3","bal","Surface","S","bal-S-3"
"100",100,1.75393786333444,"4","bal","Surface","S","bal-S-4"
"101",20,1,"1","imb","Surface","S","imb-S-1"
"102",20,2.16698489488176,"2","imb","Surface","S","imb-S-2"
"103",20,2.42081161145104,"3","imb","Surface","S","imb-S-3"
"104",20,3.30982439039728,"4","imb","Surface","S","imb-S-4"
"105",40,1,"1","imb","Surface","S","imb-S-1"
"106",40,3.25121845318446,"2","imb","Surface","S","imb-S-2"
"107",40,4.20456196167905,"3","imb","Surface","S","imb-S-3"
"108",40,5.172794180137,"4","imb","Surface","S","imb-S-4"
"109",60,1,"1","imb","Surface","S","imb-S-1"
"110",60,5.08222540582349,"2","imb","Surface","S","imb-S-2"
"111",60,6.36149238614799,"3","imb","Surface","S","imb-S-3"
"112",60,7.38265154183822,"4","imb","Surface","S","imb-S-4"
"113",80,1,"1","imb","Surface","S","imb-S-1"
"114",80,6.13346816423905,"2","imb","Surface","S","imb-S-2"
"115",80,7.83731007388346,"3","imb","Surface","S","imb-S-3"
"116",80,8.82496199882051,"4","imb","Surface","S","imb-S-4"
"117",100,1,"1","imb","Surface","S","imb-S-1"
"118",100,7.06744138419415,"2","imb","Surface","S","imb-S-2"
"119",100,9.0815975497431,"3","imb","Surface","S","imb-S-3"
"120",100,10.2499540755832,"4","imb","Surface","S","imb-S-4"
"121",20,1,"1","slc","Surface","S","slc-S-1"
"122",20,1.2230189924399,"2","slc","Surface","S","slc-S-2"
"123",20,1.30736232978606,"3","slc","Surface","S","slc-S-3"
"124",20,1.64422887487034,"4","slc","Surface","S","slc-S-4"
"125",40,1,"1","slc","Surface","S","slc-S-1"
"126",40,1.27913666262383,"2","slc","Surface","S","slc-S-2"
"127",40,1.36099928072706,"3","slc","Surface","S","slc-S-3"
"128",40,1.46454143400902,"4","slc","Surface","S","slc-S-4"
"129",60,1,"1","slc","Surface","S","slc-S-1"
"130",60,1.29459396617084,"2","slc","Surface","S","slc-S-2"
"131",60,1.36106297903614,"3","slc","Surface","S","slc-S-3"
"132",60,1.41614041585978,"4","slc","Surface","S","slc-S-4"
"133",80,1,"1","slc","Surface","S","slc-S-1"
"134",80,1.29734824541602,"2","slc","Surface","S","slc-S-2"
"135",80,1.35909440979565,"3","slc","Surface","S","slc-S-3"
"136",80,1.38667360508621,"4","slc","Surface","S","slc-S-4"
"137",100,1,"1","slc","Surface","S","slc-S-1"
"138",100,1.30325031502196,"2","slc","Surface","S","slc-S-2"
"139",100,1.3546113899987,"3","slc","Surface","S","slc-S-3"
"140",100,1.37709373871527,"4","slc","Surface","S","slc-S-4"
"141",20,1,"1","iso","Surface","S","iso-S-1"
"142",20,1.26003717183029,"2","iso","Surface","S","iso-S-2"
"143",20,1.33981089092946,"3","iso","Surface","S","iso-S-3"
"144",20,1.6169518249632,"4","iso","Surface","S","iso-S-4"
"145",40,1,"1","iso","Surface","S","iso-S-1"
"146",40,1.25305492480539,"2","iso","Surface","S","iso-S-2"
"147",40,1.33153151979716,"3","iso","Surface","S","iso-S-3"
"148",40,1.4453498345791,"4","iso","Surface","S","iso-S-4"
"149",60,1,"1","iso","Surface","S","iso-S-1"
"150",60,1.48348656695275,"2","iso","Surface","S","iso-S-2"
"151",60,1.5891221347141,"3","iso","Surface","S","iso-S-3"
"152",60,1.69267156068408,"4","iso","Surface","S","iso-S-4"
"153",80,1,"1","iso","Surface","S","iso-S-1"
"154",80,1.71418755422914,"2","iso","Surface","S","iso-S-2"
"155",80,1.83010200683906,"3","iso","Surface","S","iso-S-3"
"156",80,1.95091067589233,"4","iso","Surface","S","iso-S-4"
"157",100,1,"1","iso","Surface","S","iso-S-1"
"158",100,1.90592429082726,"2","iso","Surface","S","iso-S-2"
"159",100,2.05597220815023,"3","iso","Surface","S","iso-S-3"
"160",100,2.1638805107946,"4","iso","Surface","S","iso-S-4"
"161",20,1,"1","bal","cinema","E","bal-E-1"
"162",20,1.21862678482563,"2","bal","cinema","E","bal-E-2"
"163",20,2.47872196761121,"3","bal","cinema","E","bal-E-3"
"164",20,3.3115983017678,"4","bal","cinema","E","bal-E-4"
"165",40,1,"1","bal","cinema","E","bal-E-1"
"166",40,1.20148312963675,"2","bal","cinema","E","bal-E-2"
