"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"101",20,1,"1","imb","Surface","S","imb-S-1"
"102",20,1.07032270098862,"2","imb","Surface","S","imb-S-2"
"103",20,1.41853027621578,"3","imb","Surface","S","imb-S-3"
"104",20,5.38795403395287,"4","imb","Surface","S","imb-S-4"
"105",40,1,"1","imb","Surface","S","imb-S-1"
"106",40,1.05993668239651,"2","imb","Surface","S","imb-S-2"
"107",40,2.13724680473251,"3","imb","Surface","S","imb-S-3"
"108",40,6.06895136466243,"4","imb","Surface","S","imb-S-4"
"109",60,1,"1","imb","Surface","S","imb-S-1"
"110",60,1.21408544613489,"2","imb","Surface","S","imb-S-2"
"111",60,2.42233195705016,"3","imb","Surface","S","imb-S-3"
"112",60,5.76418500499639,"4","imb","Surface","S","imb-S-4"
"113",80,1,"1","imb","Surface","S","imb-S-1"
"114",80,1.18092319000544,"2","imb","Surface","S","imb-S-2"
"115",80,2.69886171810025,"3","imb","Surface","S","imb-S-3"
"116",80,5.47248319159357,"4","imb","Surface","S","imb-S-4"
"117",100,1,"1","imb","Surface","S","imb-S-1"
"118",100,1.26564272299597,"2","imb","Surface","S","imb-S-2"
"119",100,2.83917659081903,"3","imb","Surface","S","imb-S-3"
"120",100,5.71819955380896,"4","imb","Surface","S","imb-S-4"
"121",20,1,"1","slc","Surface","S","slc-S-1"
"122",20,1.04980361256639,"2","slc","Surface","S","slc-S-2"
"123",20,1.31447722693981,"3","slc","Surface","S","slc-S-3"
"124",20,5.12796932614476,"4","slc","Surface","S","slc-S-4"
"125",40,1,"1","slc","Surface","S","slc-S-1"
"126",40,1.22344834595254,"2","slc","Surface","S","slc-S-2"
"127",40,1.82967392064298,"3","slc","Surface","S","slc-S-3"
"128",40,4.68453085113007,"4","slc","Surface","S","slc-S-4"
"129",60,1,"1","slc","Surface","S","slc-S-1"
"130",60,1.24306011777494,"2","slc","Surface","S","slc-S-2"
"131",60,2.14965491064858,"3","slc","Surface","S","slc-S-3"
"132",60,4.00541726404111,"4","slc","Surface","S","slc-S-4"
"133",80,1,"1","slc","Surface","S","slc-S-1"
"134",80,1.2209738343882,"2","slc","Surface","S","slc-S-2"
