scalar,RGB_r,RGB_g,RGB_b
0.0,14,14,120
0.007874015748031496,18,20,124
0.015748031496062992,22,25,128
0.023622047244094488,25,30,131
0.031496062992125984,28,35,135
0.03937007874015748,31,39,139
0.047244094488188976,33,44,143
0.05511811023622047,36,49,147
0.06299212598425197,38,53,151
0.07086614173228346,40,58,155
0.07874015748031496,42,62,159
0.08661417322834646,44,67,163
0.09448818897637795,46,72,167
0.10236220472440945,48,76,171
0.11023622047244094,50,81,175
0.11811023622047244,52,85,179
0.12598425196850394,53,90,183
0.13385826771653542,55,95,187
0.14173228346456693,57,99,191
0.14960629921259844,58,104,195
0.15748031496062992,60,109,199
0.1653543307086614,61,114,203
0.1732283464566929,62,118,207
0.18110236220472442,65,123,209
0.1889763779527559,67,127,212
0.19685039370078738,69,131,214
0.2047244094488189,71,136,216
0.2125984251968504,73,140,218
0.2204724409448819,75,145,221
0.22834645669291337,77,149,223
0.23622047244094488,79,154,225
0.2440944881889764,80,158,228
0.25196850393700787,82,163,230
0.25984251968503935,84,167,232
0.26771653543307083,85,172,234
0.2755905511811024,87,177,237
0.28346456692913385,88,181,239
0.29133858267716534,90,186,241
0.2992125984251969,92,190,243
0.30708661417322836,98,193,243
0.31496062992125984,105,196,242
0.3228346456692913,110,198,242
0.3307086614173228,116,201,241
0.33858267716535434,122,204,241
0.3464566929133858,127,207,240
0.3543307086614173,132,209,240
0.36220472440944884,137,212,239
0.3700787401574803,141,215,239
0.3779527559055118,146,218,238
0.3858267716535433,151,220,238
0.39370078740157477,155,223,237
0.4015748031496063,159,226,236
0.4094488188976378,164,229,236
0.41732283464566927,168,232,235
0.4251968503937008,172,235,235
0.4330708661417323,176,237,234
0.4409448818897638,184,238,229
0.44881889763779526,191,238,225
0.45669291338582674,197,239,220
0.4645669291338583,204,239,216
0.47244094488188976,210,239,212
0.48031496062992124,216,240,207
0.4881889763779528,221,240,203
0.49606299212598426,227,241,198
0.5039370078740157,230,240,193
0.5118110236220472,232,237,187
0.5196850393700787,234,235,181
0.5275590551181102,235,232,175
0.5354330708661417,237,229,169
0.5433070866141733,238,227,164
0.5511811023622047,239,224,158
0.5590551181102362,241,222,152
0.5669291338582677,242,219,146
0.5748031496062992,243,217,140
0.5826771653543307,243,214,134
0.5905511811023622,244,212,129
0.5984251968503937,244,208,125
0.6062992125984252,243,204,122
0.6141732283464567,243,201,119
0.6220472440944882,243,197,115
0.6299212598425197,242,194,112
0.6377952755905512,242,190,109
0.6456692913385826,241,186,106
0.6535433070866141,241,183,102
0.6614173228346456,240,179,99
0.6692913385826772,240,175,96
0.6771653543307087,239,172,92
0.6850393700787402,238,168,89
0.6929133858267716,238,165,86
0.7007874015748031,237,161,83
0.7086614173228346,236,157,80
0.7165354330708661,234,154,77
0.7244094488188977,233,150,75
0.7322834645669292,231,146,73
0.7401574803149606,229,142,71
0.7480314960629921,227,139,68
0.7559055118110236,226,135,66
0.7637795275590551,224,131,64
0.7716535433070866,222,127,62
0.7795275590551181,220,123,59
0.7874015748031495,218,120,57
0.7952755905511811,217,116,55
0.8031496062992126,215,112,53
0.8110236220472441,213,108,51
0.8188976377952756,211,104,49
0.8267716535433071,209,100,46
0.8346456692913385,207,96,44
0.84251968503937,205,92,42
0.8503937007874016,203,89,41
0.8582677165354331,200,86,40
0.8661417322834646,197,82,40
0.8740157480314961,195,79,39
0.8818897637795275,192,76,39
0.889763779527559,189,73,38
0.8976377952755905,186,69,38
0.905511811023622,184,66,37
0.9133858267716535,181,63,37
0.9212598425196851,178,60,36
0.9291338582677166,175,56,36
0.937007874015748,172,53,35
0.9448818897637795,170,49,34
0.952755905511811,167,46,34
0.9606299212598425,164,42,33
0.968503937007874,161,38,33
0.9763779527559056,159,34,32
0.984251968503937,156,30,32
0.9921259842519685,153,25,31
1.0,150,20,30
