scalar,RGB_r,RGB_g,RGB_b
0.0,14,14,120
0.015873015873015872,22,25,128
0.031746031746031744,28,35,135
0.047619047619047616,33,44,143
0.06349206349206349,38,54,151
0.07936507936507936,42,63,159
0.09523809523809523,46,72,167
0.1111111111111111,50,81,175
0.12698412698412698,54,91,183
0.14285714285714285,57,100,192
0.15873015873015872,60,110,200
0.1746031746031746,63,119,207
0.19047619047619047,67,128,212
0.20634920634920634,72,137,217
0.2222222222222222,76,146,221
0.23809523809523808,79,155,226
0.25396825396825395,83,164,230
0.2698412698412698,86,173,235
0.2857142857142857,89,182,240
0.30158730158730157,94,191,243
0.31746031746031744,106,196,242
0.3333333333333333,118,202,241
0.3492063492063492,129,208,240
0.36507936507936506,138,213,239
0.38095238095238093,148,219,238
0.3968253968253968,157,224,237
0.4126984126984127,165,230,236
0.42857142857142855,174,236,234
0.4444444444444444,187,238,227
0.4603174603174603,200,239,218
0.47619047619047616,212,240,209
0.49206349206349204,224,240,201
0.5079365079365079,231,238,190
0.5238095238095237,235,233,178
0.5396825396825397,238,228,166
0.5555555555555556,240,223,154
0.5714285714285714,242,218,142
0.5873015873015872,244,213,130
0.6031746031746031,244,206,123
0.6190476190476191,243,199,117
0.6349206349206349,242,191,110
0.6507936507936507,241,184,103
0.6666666666666666,240,177,97
0.6825396825396826,239,169,90
0.6984126984126984,237,162,84
0.7142857142857142,235,155,78
0.7301587301587301,231,147,73
0.746031746031746,228,139,69
0.7619047619047619,224,132,64
0.7777777777777777,221,124,60
0.7936507936507936,217,117,56
0.8095238095238095,213,109,51
0.8253968253968254,209,101,47
0.8412698412698412,206,93,43
0.8571428571428571,201,86,40
0.873015873015873,195,80,39
0.8888888888888888,189,73,38
0.9047619047619047,184,67,37
0.9206349206349206,178,60,36
0.9365079365079365,173,53,35
0.9523809523809523,167,46,34
0.9682539682539681,162,38,33
0.9841269841269841,156,30,32
1.0,150,20,30
