scalar,RGB_r,RGB_g,RGB_b
0.0,0.05639932216773367,0.056399092153948,0.4700000908789252
0.007874015748031496,0.07196082300376219,0.07812867991719177,0.485010198148872
0.015748031496062992,0.08567238885116252,0.0982951790983998,0.5000821323119988
0.023622047244094488,0.0980968779594931,0.117567802788905,0.5152149496495492
0.031496062992125984,0.10955540109613307,0.13629353551466197,0.5304077681902012
0.03937007874015748,0.12024987592672104,0.1546746440220616,0.5456597599543398
0.047244094488188976,0.13031605313658862,0.1728384406102197,0.5609701444086332
0.05511811023622047,0.13984977084016878,0.19086951010398842,0.5763381829199307
0.06299212598425197,0.14892125606362488,0.2088263344792589,0.5917631740375291
0.07086614173228346,0.15758349327419305,0.2267505904443895,0.607244449464691
0.07874015748031496,0.16587740243913515,0.2446726813593284,0.6227813706057722
0.08661417322834646,0.17383518992135108,0.26261519410035217,0.6383733255957473
0.09448818897637795,0.1814825983218083,0.2805951470501675,0.6540197267354095
0.10236220472440945,0.18884046429837975,0.29862550103919644,0.6697200082688525
0.11023622047244094,0.19592582574773798,0.31671620353027924,0.6854736244506869
0.11811023622047244,0.20275272651072934,0.3348749275626677,0.7012800478592823
0.12598425196850394,0.20933281265076958,0.35310760549895454,0.7171387679195561
0.13385826771653542,0.21567578177052654,0.37141882148911837,0.7330492896047845
0.14173228346456693,0.22178972657294715,0.38981210459880045,0.7490111322917908
0.14960629921259844,0.2276814009177338,0.4082901507912619,0.7650238287479373
0.15748031496062992,0.2333564281314997,0.4268549931083507,0.78108692423168
0.1653543307086614,0.23881946563690942,0.4455081335770383,0.7971999756912622
0.1732283464566929,0.24493134308943804,0.4639041367966577,0.8118658563798649
0.18110236220472442,0.25400113316962486,0.48105603546146186,0.8208433178044592
0.1889763779527559,0.26271645561214857,0.4982769975632734,0.8298181767201046
0.19685039370078738,0.2711042275305116,0.5155675169249128,0.8387904065998922
0.2047244094488189,0.2791870615765316,0.5329279272214843,0.8477599862913608
0.2125984251968504,0.28698411248645955,0.5503584275621153,0.8567268996030339
0.2204724409448819,0.29451172134519765,0.5678591037703722,0.8656911349219681
0.22834645669291337,0.3017839132411355,0.5854299461667122,0.8746526848598308
0.23622047244094488,0.30881278678340407,0.6030708644897512,0.8836115459252457
0.2440944881889764,0.31560882259495326,0.6207817004645397,0.892567718220332
0.25196850393700787,0.3221811302296125,0.638562238426002,0.9015212051595496
0.25984251968503935,0.3285376476864027,0.6564122143273063,0.9104720132091082
0.26771653543307083,0.3346853039997268,0.674331323401101,0.9194201516453593
0.2755905511811024,0.3406301527544886,0.6923192266924528,0.928365632330709
0.28346456692913385,0.3463774824759001,0.71037555664312,0.9373084695057171
0.29133858267716534,0.35193190845345473,0.7284999218752918,0.9462486795961601
0.2992125984251969,0.359305177830708,0.7459886234864148,0.9541956118373548
0.30708661417322836,0.38548767373888954,0.756556982135965,0.9522989861298404
0.31496062992125984,0.41006460369881603,0.7671707750328995,0.9503731847139357
0.3228346456692913,0.43333201286990153,0.777829190154804,0.9484177008968132
0.3307086614173228,0.4555087153059249,0.7885314456759346,0.9464320191556154
0.33858267716535434,0.47676157971287497,0.799276788525895,0.944415614826092
0.3464566929133858,0.4972211199323647,0.810064493024848,0.9423679537780828
0.3543307086614173,0.5169915690249071,0.8208938595911591,0.9402884920771502
0.36220472440944884,0.5361576438121017,0.8317642135175691,0.9381766756316471
0.3700787401574803,0.5547892352675546,0.8426749038121643,0.9360319398244319
0.3779527559055118,0.57294475049776,0.8536253021005962,0.9338537091284147
0.3858267716535433,0.5906735503368103,0.864614801586187,0.9316413967050536
0.39370078740157477,0.6080177638191616,0.8756428160647081,0.9293944039848643
0.4015748031496063,0.6250136631306441,0.8867087789908108,0.927112120228948
0.4094488188976378,0.6416927220760251,0.8978121425932295,0.9247939220704732
0.41732283464566927,0.6580824424490743,0.9089523770360418,0.9224391730349738
0.4251968503937008,0.6742070073855996,0.9201289696234202,0.9200472230382537
0.4330708661417323,0.6917163147245203,0.9302010894212122,0.9158608079024693
0.4409448818897638,0.7202457543976587,0.9318994079153288,0.8987152320861751
0.44881889763779526,0.7473853480570992,0.9335988131489933,0.8815348593939305
0.45669291338582674,0.7733102171005033,0.9352989051299686,0.8643151499007304
0.4645669291338583,0.7981630312527795,0.9369992876927009,0.8470511490125865
0.47244094488188976,0.8220618292503074,0.9386995684618077,0.8297374392048826
0.48031496062992124,0.845105577822715,0.9403993588137859,0.8123680845852109
0.4881889763779528,0.867378218936552,0.9420982738370272,0.7949365669530785
0.49606299212598426,0.8889516783498006,0.9437959322902385,0.7774357117307777
0.5039370078740157,0.9031671356799245,0.9396660388931108,0.7570615197302213
0.5118110236220472,0.9101567178047741,0.9297195896265684,0.7338916678688602
0.5196850393700787,0.9166937134895432,0.9197860225936788,0.7107449240277348
0.5275590551181102,0.922797984338315,0.9098650746876931,0.6876150142761991
0.5354330708661417,0.9284879456781068,0.8999564657527463,0.6644946824886518
0.5433070866141733,0.9337807247927562,0.8900598975688745,0.6413755102795774
0.5511811023622047,0.9386922982803949,0.8801750527676528,0.6182476955141211
0.5590551181102362,0.9432376118565962,0.8703015936728383,0.5950997775346851
0.5669291338582677,0.9474306853201891,0.860439161059857,0.5719182930855979
0.5748031496062992,0.9512847049174963,0.8505873728273781,0.5486873409994097
0.5826771653543307,0.9548121049553843,0.8407458225735502,0.5253880251409563
0.5905511811023622,0.9568249343624683,0.8296456864024526,0.5050308521994407
0.5984251968503937,0.9557703417572815,0.8155221127168956,0.49189797833809396
