Study,Number of Nodes,Plot measure (pixels)
Strong,32,50.632
Strong,64,43.277
Strong,128,36.018
Strong,256,28.098
Strong,512,19.848
Strong,1024,13.577
Strong,2048,9.617
Strong,4096,7.826
Strong,8192,2.734
Weak,128,30.879
Weak,256,24.892
Weak,512,16.877
Weak,1024,6.601
Weak,2048,1.367
Weak,4096,-6.647
Weak,8192,-15.888
Weak,16384,-21.969
